_id,country,countryCode,outbound,updatedAt,createdAt,__v
668c0afa04ea8a5d37c43722,MX, 52,0.1295,2024-07-08T15:51:22.910Z,2024-07-08T15:51:22.910Z,0
668c4fb065013c9af10540d2,IT, 39,0.1096,2024-07-08T20:44:32.536Z,2024-07-08T20:44:32.536Z,0
668c4ff3c9d8a7691657cf75,NL, 31,0.1159,2024-07-08T20:45:39.154Z,2024-07-08T20:45:39.154Z,0
668c5202c4bc1d06d885a339,MA, 212,0.2248,2024-07-08T20:54:26.838Z,2024-07-08T20:54:26.838Z,0
668c528bc9d8a7691657cf9e,VN, 84,0.1862,2024-07-08T20:56:43.582Z,2024-07-08T20:56:43.582Z,0
668c5344726696a894bb7661,PL, 48,0.0517,2024-07-08T20:59:48.914Z,2024-07-08T20:59:48.914Z,0
668c53c7726696a894bb7668,RO, 40,0.0884,2024-07-08T21:01:59.142Z,2024-07-08T21:01:59.142Z,0
668c548ac6fdc2c24d76558d,SK, 421,0.106,2024-07-08T21:05:14.829Z,2024-07-08T21:05:14.829Z,0
668c55b665013c9af105411a,VE, 58,0.1022,2024-07-08T21:10:14.331Z,2024-07-08T21:10:14.331Z,0
668c5691c4bc1d06d885a374,CI, 225,0.2395,2024-07-08T21:13:53.669Z,2024-07-08T21:13:53.669Z,0
668c56a565013c9af1054126,IN, 91,0.0938,2024-07-08T21:14:13.906Z,2024-07-08T21:14:13.906Z,0
668c4f78c4bc1d06d885a318,DE, 49,0.1128,2024-07-08T20:43:36.018Z,2024-07-08T20:43:36.018Z,0
668c503b65013c9af10540db,PE, 51,0.12,2024-07-08T20:46:51.283Z,2024-07-08T20:46:51.283Z,0
668c50cd1cdc8a1d6ea2cce7,IL, 7,0.1782,2024-07-08T20:49:17.055Z,2024-07-08T20:49:17.055Z,0
668c5158c4bc1d06d885a32f,KE, 254,0.149,2024-07-08T20:51:36.061Z,2024-07-08T20:51:36.061Z,0
668c51a365013c9af10540ef,UG, 256,0.2546,2024-07-08T20:52:51.996Z,2024-07-08T20:52:51.996Z,0
668c51c3c9d8a7691657cf90,DZ, 213,0.309,2024-07-08T20:53:23.371Z,2024-07-08T20:53:23.371Z,0
668c524c1cdc8a1d6ea2ccf9,PH, 63,0.2401,2024-07-08T20:55:40.357Z,2024-07-08T20:55:40.357Z,0
668c52d21cdc8a1d6ea2cd00,BD, 880,0.3866,2024-07-08T20:57:54.627Z,2024-07-08T20:57:54.627Z,0
668c5461c9d8a7691657cfb4,UA, 380,0.2096,2024-07-08T21:04:33.153Z,2024-07-08T21:04:33.153Z,0
668c5564c4bc1d06d885a363,HR, 385,0.1098,2024-07-08T21:08:52.614Z,2024-07-08T21:08:52.614Z,0
668c55f1726696a894bb7685,NG, 234,0.3024,2024-07-08T21:11:13.480Z,2024-07-08T21:11:13.480Z,0
668c561d1cdc8a1d6ea2cd2b,ZA, 27,0.0908,2024-07-08T21:11:57.760Z,2024-07-08T21:11:57.760Z,0
668c56de726696a894bb7692,SA, 966,0.12,2024-07-08T21:15:10.091Z,2024-07-08T21:15:10.091Z,0
668c570f65013c9af105412c,AE, 971,0.131,2024-07-08T21:15:59.818Z,2024-07-08T21:15:59.818Z,0
668c5763c4bc1d06d885a37e,KW, 965,0.3097,2024-07-08T21:17:23.668Z,2024-07-08T21:17:23.668Z,0
668c5789c4bc1d06d885a381,OM, 968,0.1715,2024-07-08T21:18:01.098Z,2024-07-08T21:18:01.098Z,0
668c57c0c6fdc2c24d7655ae,LB, 961,0.3288,2024-07-08T21:18:56.022Z,2024-07-08T21:18:56.022Z,0
668c582a1cdc8a1d6ea2cd43,BE, 32,0.126,2024-07-08T21:20:42.624Z,2024-07-08T21:20:42.624Z,0
668aa76fc4d787f77dadab30,CA, 1,0.0166,2024-07-07T14:34:23.878Z,2024-07-07T14:34:23.878Z,0
668aaf4420b2d92ef07f8278,PA,+507,0.2078,2024-07-07T15:07:48.157Z,2024-07-07T15:07:48.157Z,0
668c0b2904ea8a5d37c43727,US, 1,0.0095,2024-07-08T15:52:09.636Z,2024-07-08T15:52:09.636Z,0
668c4f49c6fdc2c24d76554f,FR, 33,0.0942,2024-07-08T20:42:49.800Z,2024-07-08T20:42:49.800Z,0
668c4fc4c6fdc2c24d765556,MY, 60,0.1942,2024-07-08T20:44:52.600Z,2024-07-08T20:44:52.600Z,0
668c50f2c9d8a7691657cf82,TR, 90,0.0366,2024-07-08T20:49:54.365Z,2024-07-08T20:49:54.365Z,0
668c5226c9d8a7691657cf99,ID, 62,0.5297,2024-07-08T20:55:02.284Z,2024-07-08T20:55:02.284Z,0
668c52b2726696a894bb7657,SG, 65,0.0481,2024-07-08T20:57:22.363Z,2024-07-08T20:57:22.363Z,0
668c5391c9d8a7691657cfaa,CZ, 420,0.0686,2024-07-08T21:01:05.873Z,2024-07-08T21:01:05.873Z,0
668c53e51cdc8a1d6ea2cd0f,HU, 36,0.1092,2024-07-08T21:02:29.067Z,2024-07-08T21:02:29.067Z,0
668c54ea1cdc8a1d6ea2cd1a,BG, 359,0.1759,2024-07-08T21:06:50.247Z,2024-07-08T21:06:50.247Z,0
668c558c1cdc8a1d6ea2cd22,RS, 381,0.2899,2024-07-08T21:09:32.738Z,2024-07-08T21:09:32.738Z,0
668c55c5c6fdc2c24d765598,EC, 593,0.2172,2024-07-08T21:10:29.937Z,2024-07-08T21:10:29.937Z,0
668c57ab65013c9af1054132,JO, 962,0.3271,2024-07-08T21:18:35.863Z,2024-07-08T21:18:35.863Z,0
668c57e9726696a894bb769e,ES, 34,0.105,2024-07-08T21:19:37.282Z,2024-07-08T21:19:37.282Z,0
668c580565013c9af105413b,GB, 44,0.0536,2024-07-08T21:20:05.342Z,2024-07-08T21:20:05.342Z,0
668c0b3604ea8a5d37c4372c,CO, 57,0.064,2024-07-08T15:52:22.788Z,2024-07-08T15:52:22.788Z,0
668c0d7504ea8a5d37c43760,AR, 54,0.0937,2024-07-08T16:01:57.543Z,2024-07-08T16:01:57.543Z,0
668c4f251cdc8a1d6ea2ccd2,BR, 55,0.0579,2024-07-08T20:42:13.325Z,2024-07-08T20:42:13.325Z,0
668c4f3665013c9af10540c9,CL, 56,0.0781,2024-07-08T20:42:30.464Z,2024-07-08T20:42:30.464Z,0
668c500e1cdc8a1d6ea2ccde,PK, 92,0.3972,2024-07-08T20:46:06.978Z,2024-07-08T20:46:06.978Z,0
668c50ae726696a894bb763c,RU, 7,0.834,2024-07-08T20:48:46.837Z,2024-07-08T20:48:46.837Z,0
668c5131c6fdc2c24d765565,EG, 20,0.3332,2024-07-08T20:50:57.831Z,2024-07-08T20:50:57.831Z,0
668c516cc9d8a7691657cf8a,TZ, 255,0.3228,2024-07-08T20:51:56.152Z,2024-07-08T20:51:56.152Z,0
668c5270c4bc1d06d885a341,TH, 66,0.0366,2024-07-08T20:56:16.904Z,2024-07-08T20:56:16.904Z,0
668c5324c9d8a7691657cfa5,LK, 94,0.4754,2024-07-08T20:59:16.320Z,2024-07-08T20:59:16.320Z,0
668c564b726696a894bb7689,GH, 233,0.2159,2024-07-08T21:12:43.088Z,2024-07-08T21:12:43.088Z,0
668c573b726696a894bb7696,QA, 974,0.2662,2024-07-08T21:16:43.519Z,2024-07-08T21:16:43.519Z,0
668c585fd9df42ea44304c8b,CH, 41,0.087,2024-07-08T21:21:35.645Z,2024-07-08T21:21:35.645Z,0
67b40e36e560d04412e1fa20,CN,86,0.0463,2025-02-18T04:36:06.844Z,2025-02-18T04:36:06.844Z,0
67e57cd6f2e6207d0b3de7bb,CR,506,0.0504,2025-03-27T16:29:10.573Z,2025-03-27T16:29:10.573Z,0
68936d7ba5d8d6ffdecf130d,UY,598,0.1022,2025-08-06T14:58:03.519Z,2025-08-06T14:58:03.519Z,0
68936d7ba5d8d6ffdecf130f,PY,595,0.145,2025-08-06T14:58:03.566Z,2025-08-06T14:58:03.566Z,0
68bf0d795d5611c2423c9208,SV,503,0.2852,2025-09-08T17:08:09.158Z,2025-09-08T17:08:09.158Z,0
68bf0d7a5d5611c2423c920a,JP,81,0.1008,2025-09-08T17:08:10.012Z,2025-09-08T17:08:10.012Z,0
68bf0d7a5d5611c2423c920c,SE,46,0.0707,2025-09-08T17:08:10.600Z,2025-09-08T17:08:10.600Z,0
68e3c724d1fc8dab110ce059,NI,505,0.1529,2025-10-06T13:41:56.055Z,2025-10-06T13:41:56.055Z,0
68e3c724d1fc8dab110ce05b,GT,502,0.2998,2025-10-06T13:41:56.093Z,2025-10-06T13:41:56.093Z,0
68e3c724d1fc8dab110ce05d,HN,504,0.2952,2025-10-06T13:41:56.142Z,2025-10-06T13:41:56.142Z,0
